image_id,theme,prompt_tr,prompt_en
CHRD_REAL_0001,Rock-cut Heritage,"Rock-cut Heritage temalı, Ürgüp bölgesinde, Cave House içeren, Stone House bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Rock-cut Heritage in Ürgüp, featuring Cave House and Stone House representing Cappadocia cultural heritage."
CHRD_REAL_0004,Village Square,"Village Square temalı, Ürgüp bölgesinde, Street içeren, Local People bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Village Square in Ürgüp, featuring Street and Local People representing Cappadocia cultural heritage."
CHRD_REAL_0005,Fairy Chimney,"Fairy Chimney temalı, Rock Formation içeren, Balloon bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Fairy Chimney, featuring Rock Formation and Balloon representing Cappadocia cultural heritage."
CHRD_REAL_0006,Local Architecture,"Local Architecture temalı, Church içeren, Monastery bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Local Architecture, featuring Church and Monastery representing Cappadocia cultural heritage."
CHRD_REAL_0007,Daily Life,"Daily Life temalı, Stone House içeren, Street bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Daily Life, featuring Stone House and Street representing Cappadocia cultural heritage."
CHRD_REAL_0008,Local Architecture,"Local Architecture temalı, Rock Formation içeren, Stone House bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Local Architecture, featuring Rock Formation and Stone House representing Cappadocia cultural heritage."
CHRD_REAL_0009,Daily Life,"Daily Life temalı, Stone House içeren, Pottery bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Daily Life, featuring Stone House and Pottery representing Cappadocia cultural heritage."
CHRD_REAL_0011,Natural Landscape,"Natural Landscape temalı, Sunrise içeren, Balloon bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Natural Landscape, featuring Sunrise and Balloon representing Cappadocia cultural heritage."
CHRD_REAL_0014,Daily Life,"Daily Life temalı, Valley içeren, Rock Formation bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Daily Life, featuring Valley and Rock Formation representing Cappadocia cultural heritage."
CHRD_REAL_0015,Village Square,"Village Square temalı, Rock Formation içeren, Landscape bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Village Square, featuring Rock Formation and Landscape representing Cappadocia cultural heritage."
CHRD_REAL_0018,Daily Life,"Daily Life temalı, Street içeren, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Daily Life, featuring Street representing Cappadocia cultural heritage."
CHRD_REAL_0019,Village Square,"Village Square temalı, Mustafapaşa bölgesinde, Stone House içeren, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Village Square in Mustafapaşa, featuring Stone House representing Cappadocia cultural heritage."
CHRD_REAL_0020,Rock-cut Heritage,"Rock-cut Heritage temalı, Rock Formation içeren, Valley bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Rock-cut Heritage, featuring Rock Formation and Valley representing Cappadocia cultural heritage."
CHRD_REAL_0021,Rock-cut Heritage,"Rock-cut Heritage temalı, Rock Formation içeren, Valley bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Rock-cut Heritage, featuring Rock Formation and Valley representing Cappadocia cultural heritage."
CHRD_REAL_0022,Rock-cut Heritage,"Rock-cut Heritage temalı, Rock Formation içeren, Valley bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Rock-cut Heritage, featuring Rock Formation and Valley representing Cappadocia cultural heritage."
CHRD_REAL_0023,Natural Landscape,"Natural Landscape temalı, Avanos bölgesinde, River içeren, Landscape bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Natural Landscape in Avanos, featuring River and Landscape representing Cappadocia cultural heritage."
CHRD_REAL_0024,Natural Landscape,"Natural Landscape temalı, Avanos bölgesinde, River içeren, Landscape bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Natural Landscape in Avanos, featuring River and Landscape representing Cappadocia cultural heritage."
CHRD_REAL_0025,Natural Landscape,"Natural Landscape temalı, Avanos bölgesinde, River içeren, Landscape bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Natural Landscape in Avanos, featuring River and Landscape representing Cappadocia cultural heritage."
CHRD_REAL_0026,Natural Landscape,"Natural Landscape temalı, Avanos bölgesinde, River içeren, Landscape bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Natural Landscape in Avanos, featuring River and Landscape representing Cappadocia cultural heritage."
CHRD_REAL_0030,Village Square,"Village Square temalı, Ortahisar bölgesinde, Street içeren, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Village Square in Ortahisar, featuring Street representing Cappadocia cultural heritage."
CHRD_REAL_0031,Natural Landscape,"Natural Landscape temalı, Mustafapaşa bölgesinde, Museum içeren, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Natural Landscape in Mustafapaşa, featuring Museum representing Cappadocia cultural heritage."
CHRD_REAL_0032,Daily Life,"Daily Life temalı, Ürgüp bölgesinde, Street içeren, Pottery bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Daily Life in Ürgüp, featuring Street and Pottery representing Cappadocia cultural heritage."
CHRD_REAL_0033,Local Architecture,"Local Architecture temalı, Derinkuyu bölgesinde, Church içeren, Museum bulunan, gerçekçi kültürel miras fotoğrafı.","A realistic photograph of Local Architecture in Derinkuyu, featuring Church and Museum representing Cappadocia cultural heritage."
